,Sentence ID,HIT ID,Formality,Informativeness,Implicature,Length in Words,Length in Characters,F-score,I-score,Lexical Density,Sentence,Adjective Density,Spellcheck Percentage,Syllable Ratio,Latinate vs Germanic
0,0,3URJ6VVYUOMECRP6V4GMF5FCRMT4OQ,6.2,5.8,3.4,33,201,93.9393939394,7.24242424242,66.6666666667,"10In High Bay 4 of the Vehicle Assembly Building at NASA's Kennedy Space Center in Florida, technicians maneuver a second roll control system module into place for installation in the Ares I-X segment.",2.857142857142857,0.0,1.6363636363636365,26.666666666666668
1,1,3XH7ZM9YX1TI6ANY4RTHQ8VXO1R9R0,6.0,6.4,4.0,45,266,85.5555555556,5.2,62.2222222222,"12The oxygen vent arm and hood removed from the fixed service structure at NASA Kennedy Space Center's Launch Pad 39B is ready for transfer from the pad to a storage facility, after the pad was transferred from the Space Shuttle Program to the Constellation Program.",4.3478260869565215,0.0,1.4,18.181818181818183
2,2,3MXX6RQ9EU4WXR17A4T145K21RP4P7,5.8,6.4,3.6,29,186,93.1034482759,3.89655172414,65.5172413793,"13In the Rotation, Processing and Surge Facility at NASA's Kennedy Space Center in Florida, a technician performs propellant grain inspection of the inside of the Ares I-X motor segment.",6.451612903225806,0.0,1.6896551724137931,33.33333333333333
3,3,3TFJJUELSGO30ODG1LO7RQOXIUEC25,5.2,5.8,3.6,16,98,87.5,3.375,68.75,"14In the Vehicle Assembly Building's High Bay 4, assembly of the Ares I-X rocket nears completion.",0.0,0.0,1.625,0.0
4,4,3CRWSLD91J3UGHEC18GI1ZWCDDEMO3,4.6,4.8,3.2,19,108,84.2105263158,6.21052631579,63.1578947368,"15In the Vehicle Assembly Building's High Bay 3, a yellow framework, lifts Super Stack 5 atop Super Stack 4.",10.0,0.0,1.4736842105263157,0.0
5,5,3E9ZFLPWOXRVE72DHK5MSJGO88ZXI3,6.2,5.8,3.6,23,142,93.4782608696,5.0,73.9130434783,16Work platforms surround the Ares I-X launch vehicle in the Vehicle Assembly Building's High Bay 4 at NASA's Kennedy Space Center in Florida.,3.8461538461538463,0.0,1.565217391304348,14.285714285714285
6,6,36FFXPMST8N8O3D1AB059UOGWRFHOP,6.0,6.4,3.6,36,212,91.6666666667,5.52777777778,61.1111111111,"17In the Vehicle Assembly Building's High Bay 3 at Kennedy Space Center in Florida, a technician works on a platform mounted on the interior wall of the upper stage simulator of the 327-foot-tall Ares I-X rocket.",10.0,0.0,1.6111111111111112,10.526315789473683
7,7,3EFNPKWBMRN8REEJT59SFZROFJI03C,5.8,6.2,4.8,35,208,82.8571428571,4.88571428571,71.4285714286,"18The Ares I-X rocket, shown in in High Bay 3 of Kennedy Space Center's Vehicle Assembly Building is being prepared for this week's Launch Vehicle Readiness Test in Cape Canaveral, Fla., Monday, Oct. 5, 2009.",5.263157894736842,2.857142857142857,1.4,0.0
8,8,3OB6JN3A9POXDU6ST0XMVU1HO0YMRC,5.8,6.6,1.8,30,183,83.3333333333,4.46666666667,66.6666666667,"19The 327-foot-tall Ares I-X test rocket moves slowly to launch pad 39B from the Vehicle Assembly Building at the Kennedy Space Center in Cape Canaveral, Fla., Tuesday, Oct. 20, 2009.",3.0303030303030303,0.0,1.4,6.666666666666667
9,9,3HFWPF5AK8I8SNYV27SCP5X7AB0S3Q,3.6,5.2,3.0,10,55,35.0,5.7,70.0,1. bluetooth isn't turned on prior to trying to connect,9.090909090909092,10.0,1.5,30.0
10,10,367O8HRHKF7TAJHZ2LXVZAPDOBW4SN,3.2,4.4,3.0,16,80,75.0,7.125,43.75,1) Check out this random object we found at a thrift store (via the link below).,6.25,0.0,1.1875,40.0
11,11,3QI9WAYOGPA7P6LDL9QAW89RK22S6W,3.6,6.2,2.8,13,71,61.5384615385,6.15384615385,61.5384615385,1. Go into the printers control panel and choose Printer > Add Printer.,0.0,0.0,1.5833333333333333,50.0
12,12,3UOMW19E6C5VZLW3J4Q5PXR9245C56,5.0,4.2,2.0,5,42,60.0,7.0,40.0,1. Go to System/Administration/Printing 2.,0.0,0.0,2.2,0.0
13,13,3UL5XDRDNBITNI6Q2SA0NBVQCDL58U,2.2,2.8,3.8,5,18,50.0,6.0,40.0,1. I have no clue.,0.0,0.0,1.0,0.0
14,14,3H6W48L9F3O86TKRKAZKZX3TLKOPWE,2.6,2.8,3.6,32,161,50.0,4.1875,50.0,"1. I know exactly how to convert my iTMS files to unprottected MP3's (Audio Hijack Pro), but what do I do about videos downloaded on iTMS (I have a lot of them)?",6.0606060606060606,9.375,1.3125,3.333333333333333
15,15,37SDSEDIN81UZ057158OKLI90XG81F,1.0,2.4,6.4,9,44,61.1111111111,2.66666666667,44.4444444444,1. Is Levi Johnston screwing with all of us?,0.0,0.0,1.2222222222222223,0.0
16,16,3EN4YVUOUBRR9IMJZ2QM4KVOLNOXJF,3.0,4.2,5.2,11,58,50.0,5.63636363636,63.6363636364,1) Kids love coming here if they enjoy the great outdoors.,9.090909090909092,0.0,1.2727272727272727,10.0
17,17,33KMQD9OFID4A8FQGGXR7VDRSZ977N,3.2,5.2,3.8,14,69,75.0,7.28571428571,50.0,1) make sure that there is a valid driver for your printer in ubuntu.,14.285714285714285,7.142857142857142,1.2142857142857142,11.11111111111111
18,18,3YO4AH2FPCJ0YFKLRGLOS7KZPBVQ04,5.2,5.4,4.4,9,56,83.3333333333,6.0,66.6666666667,1.) The European Union strikes a climate financing deal.,0.0,11.11111111111111,1.5555555555555556,33.33333333333333
19,19,36BTXXLZ2U7H94HMNWXQ90KH29CR4L,2.2,2.4,5.2,8,35,31.25,3.0,50.0,1. Where should we park to do this.,0.0,0.0,1.0,16.666666666666664
20,20,3SD15I2WD1T35P0YVUP9O01FSM436G,5.6,6.0,2.4,42,252,78.5714285714,4.54761904762,59.5238095238,$200 million in stimulus funds flows to Georgia to update power grid: More than $200 million in federal stimulus money is expected to flow into projects in Georgia as part of the Obama Administration's plans to upgrade the nation's aging electric grid.,9.090909090909092,0.0,1.5952380952380951,26.31578947368421
