Sentence,FK Reading Ease,FOG Scale,SMOG Index,ARI,CL Index,LW Formula,DC Score,Readability Consensus,Spache Formula
"10In High Bay 4 of the Vehicle Assembly Building at NASA's Kennedy Space Center in Florida, technicians maneuver a second roll control system module into place for installation in the Ares I-X segment.",37.98,20.47,0.0,19.2,12.31,22.5,12.93,13.0,8.098060606060606
"12The oxygen vent arm and hood removed from the fixed service structure at NASA Kennedy Space Center's Launch Pad 39B is ready for transfer from the pad to a storage facility, after the pad was transferred from the Space Shuttle Program to the Constellation Program.",42.72,19.78,0.0,24.3,11.85,24.5,12.18,12.0,9.286222222222221
"13In the Rotation, Processing and Surge Facility at NASA's Kennedy Space Center in Florida, a technician performs propellant grain inspection of the inside of the Ares I-X motor segment.",33.58,21.26,0.0,18.7,13.94,21.5,13.24,14.0,7.5969655172413795
"14In the Vehicle Assembly Building's High Bay 4, assembly of the Ares I-X rocket nears completion.",55.24,13.9,0.0,11.0,11.08,12.0,13.31,10.0,5.244999999999999
"15In the Vehicle Assembly Building's High Bay 3, a yellow framework, lifts Super Stack 5 atop Super Stack 4.",60.65,11.81,0.0,10.4,8.99,11.5,13.72,12.0,5.781157894736841
16Work platforms surround the Ares I-X launch vehicle in the Vehicle Assembly Building's High Bay 4 at NASA's Kennedy Space Center in Florida.,48.13,14.42,0.0,14.7,12.25,15.5,13.7,15.0,6.6993913043478255
"17In the Vehicle Assembly Building's High Bay 3 at Kennedy Space Center in Florida, a technician works on a platform mounted on the interior wall of the upper stage simulator of the 327-foot-tall Ares I-X rocket.",34.94,21.07,0.0,19.7,10.86,25.0,12.0,12.0,7.826111111111111
"18The Ares I-X rocket, shown in in High Bay 3 of Kennedy Space Center's Vehicle Assembly Building is being prepared for this week's Launch Vehicle Readiness Test in Cape Canaveral, Fla., Monday, Oct. 5, 2009.",52.87,16.29,0.0,19.5,10.34,20.5,13.49,15.0,7.248285714285714
"19The 327-foot-tall Ares I-X test rocket moves slowly to launch pad 39B from the Vehicle Assembly Building at the Kennedy Space Center in Cape Canaveral, Fla., Tuesday, Oct. 20, 2009.",57.95,14.67,0.0,17.7,11.15,18.0,13.02,18.0,5.929
1. bluetooth isn't turned on prior to trying to connect,69.79,4.0,0.0,5.2,6.76,4.0,12.03,4.0,4.828999999999999
1) Check out this random object we found at a thrift store (via the link below).,89.08,6.4,0.0,5.7,4.52,7.0,10.35,5.0,4.17
1. Go into the printers control panel and choose Printer > Add Printer.,59.3,4.8,0.0,7.7,8.92,5.5,10.81,8.0,5.397666666666666
1. Go to System/Administration/Printing 2.,15.64,10.0,0.0,16.9,17.72,2.5,19.67,13.0,6.703999999999999
1. I have no clue.,117.16,2.0,0.0,-5.8,-7.81,1.5,10.2,2.0,1.544
"1. I know exactly how to convert my iTMS files to unprottected MP3's (Audio Hijack Pro), but what do I do about videos downloaded on iTMS (I have a lot of them)?",64.38,16.55,0.0,13.7,5.41,19.0,11.14,12.0,6.9635
1. Is Levi Johnston screwing with all of us?,96.18,3.6,0.0,1.9,2.87,3.5,11.1,4.0,4.01911111111111
1) Kids love coming here if they enjoy the great outdoors.,85.69,4.4,0.0,4.6,5.78,4.5,7.05,5.0,2.3899999999999997
1) make sure that there is a valid driver for your printer in ubuntu.,91.11,5.6,0.0,4.4,4.52,6.0,8.84,5.0,4.041571428571428
1.) The European Union strikes a climate financing deal.,62.34,12.49,0.0,8.2,9.94,5.5,14.61,7.0,4.974666666666666
1. Where should we park to do this.,114.12,3.2,0.0,-1.0,-0.81,3.0,6.01,0.0,1.9669999999999999
$200 million in stimulus funds flows to Georgia to update power grid: More than $200 million in federal stimulus money is expected to flow into projects in Georgia as part of the Obama Administration's plans to upgrade the nation's aging electric grid.,28.85,20.61,0.0,23.2,11.91,26.0,11.73,12.0,8.808619047619047
20The driver of the crawler-transporter slowly maneuvers the huge vehicle under the mobile launcher platform holding the 327-foot-tall Ares I-X rocket at NASA's Kennedy Space Center in Florida.,34.6,15.49,0.0,20.5,16.13,19.0,12.92,16.0,6.936999999999999
"21NASA's Ares 1-X rocket rolls out to launch pad 39-B at the Kennedy Space Center October 20, 2009 in Cape Canaveral, Florida.",66.07,10.62,0.0,12.0,8.82,13.0,14.06,9.0,5.113727272727273
"22NASA's Ares I-X rocket is seen on launch pad 39b at the Kennedy Space Center in Cape Canaveral, Fla., Monday, Oct. 26, 2009.",81.97,9.2,0.0,11.4,6.97,11.5,12.33,12.0,4.829826086956521
"23The top section of NASA's new Ares 1-X test vehicle is reflected in a pond as an alligator lurks near launch pad 39-B at Kennedy Space Center, Florida on October 26, 2009.",55.92,16.55,0.0,15.5,7.96,21.0,13.12,13.0,6.426
