Sentence,ADF Score,FK Grade Level,Reading Time,WF Score
"10In High Bay 4 of the Vehicle Assembly Building at NASA's Kennedy Space Center in Florida, technicians maneuver a second roll control system module into place for installation in the Ares I-X segment.",2.857142857142857,16.2,2.48,7.1287
"12The oxygen vent arm and hood removed from the fixed service structure at NASA Kennedy Space Center's Launch Pad 39B is ready for transfer from the pad to a storage facility, after the pad was transferred from the Space Shuttle Program to the Constellation Program.",4.3478260869565215,18.5,3.26,7.860100000000001
"13In the Rotation, Processing and Surge Facility at NASA's Kennedy Space Center in Florida, a technician performs propellant grain inspection of the inside of the Ares I-X motor segment.",6.451612903225806,15.8,2.32,6.286999999999999
"14In the Vehicle Assembly Building's High Bay 4, assembly of the Ares I-X rocket nears completion.",0.0,9.5,1.22,5.720699999999999
"15In the Vehicle Assembly Building's High Bay 3, a yellow framework, lifts Super Stack 5 atop Super Stack 4.",10.0,9.5,1.32,5.9181
16Work platforms surround the Ares I-X launch vehicle in the Vehicle Assembly Building's High Bay 4 at NASA's Kennedy Space Center in Florida.,3.8461538461538463,12.3,1.76,6.854000000000001
"17In the Vehicle Assembly Building's High Bay 3 at Kennedy Space Center in Florida, a technician works on a platform mounted on the interior wall of the upper stage simulator of the 327-foot-tall Ares I-X rocket.",10.0,17.3,2.6,6.437299999999999
"18The Ares I-X rocket, shown in in High Bay 3 of Kennedy Space Center's Vehicle Assembly Building is being prepared for this week's Launch Vehicle Readiness Test in Cape Canaveral, Fla., Monday, Oct. 5, 2009.",5.263157894736842,14.6,2.56,6.711
"19The 327-foot-tall Ares I-X test rocket moves slowly to launch pad 39B from the Vehicle Assembly Building at the Kennedy Space Center in Cape Canaveral, Fla., Tuesday, Oct. 20, 2009.",3.0303030303030303,12.6,2.26,6.2212000000000005
1. bluetooth isn't turned on prior to trying to connect,9.090909090909092,6.0,0.68,5.9958
1) Check out this random object we found at a thrift store (via the link below).,6.25,4.8,0.95,5.885199999999999
1. Go into the printers control panel and choose Printer > Add Printer.,0.0,8.0,0.87,5.8221
1. Go to System/Administration/Printing 2.,0.0,12.3,0.56,4.9608
1. I have no clue.,0.0,-1.9,0.21,5.0863
"1. I know exactly how to convert my iTMS files to unprottected MP3's (Audio Hijack Pro), but what do I do about videos downloaded on iTMS (I have a lot of them)?",6.0606060606060606,12.2,1.91,6.7647
1. Is Levi Johnston screwing with all of us?,0.0,2.1,0.53,5.373200000000001
1) Kids love coming here if they enjoy the great outdoors.,9.090909090909092,4.0,0.71,5.8157000000000005
1) make sure that there is a valid driver for your printer in ubuntu.,14.285714285714285,4.0,0.82,5.652200000000001
1.) The European Union strikes a climate financing deal.,0.0,6.8,0.71,5.1243
1. Where should we park to do this.,0.0,-0.8,0.41,5.6232
$200 million in stimulus funds flows to Georgia to update power grid: More than $200 million in federal stimulus money is expected to flow into projects in Georgia as part of the Obama Administration's plans to upgrade the nation's aging electric grid.,9.090909090909092,19.7,3.1,7.8077000000000005
